date,trip_count
2024-02-16,7419
2024-02-17,5920
2024-02-18,5231
2024-02-19,5913
2024-02-20,7991
2024-02-21,8637
2024-02-22,8890
2024-02-23,8014
2024-02-24,7486
2024-02-25,5849
2024-02-26,9315
2024-02-27,10938
2024-02-28,7853
2024-02-29,8041
2024-03-01,8547
2024-03-02,5167
2024-03-03,8344
2024-03-04,8444
2024-03-05,6925
2024-03-06,8718
2024-03-07,7161
2024-03-08,10073
2024-03-09,7436
2024-03-10,6713
2024-03-11,7164
2024-03-12,10108
2024-03-13,10560
2024-03-14,11215
2024-03-15,8522
2024-03-16,10840
2024-03-17,9209
2024-03-18,9580
2024-03-19,10522
2024-03-20,9907
2024-03-21,8575
2024-03-22,8683
2024-03-23,1903
2024-03-24,6280
2024-03-25,7965
2024-03-26,7920
2024-03-27,9823
2024-03-28,3564
2024-03-29,7110
2024-03-30,10272
2024-03-31,9024
2024-04-01,10776
2024-04-02,10582
2024-04-03,6458
2024-04-04,3426
2024-04-05,9587
2024-04-06,6615
2024-04-07,7696
2024-04-08,11528
2024-04-09,13209
2024-04-10,13059
2024-04-11,10852
2024-04-12,8732
2024-04-13,12347
2024-04-14,11012
2024-04-15,16133
2024-04-16,16009
2024-04-17,13855
2024-04-18,9840
2024-04-19,13763
2024-04-20,10982
2024-04-21,11111
2024-04-22,12339
2024-04-23,14029
2024-04-24,12998
2024-04-25,13757
2024-04-26,13822
2024-04-27,14419
2024-04-28,13512
2024-04-29,13050
2024-04-30,12764
2024-05-01,13058
2024-05-02,13851
2024-05-03,14035
2024-05-04,12904
2024-05-05,7907
2024-05-06,14424
2024-05-07,17607
2024-05-08,9460
2024-05-09,15801
2024-05-10,14389
2024-05-11,13066
2024-05-12,10909
2024-05-13,14411
2024-05-14,16803
2024-05-15,15080
2024-05-16,10527
2024-05-17,15582
2024-05-18,10227
2024-05-19,9037
2024-05-20,14106
2024-05-21,17284
2024-05-22,17121
2024-05-23,14846
2024-05-24,16443
2024-05-25,14808
2024-05-26,14515
2024-05-27,11093
2024-05-28,16438
2024-05-29,17340
2024-05-30,10143
2024-05-31,17094
2024-06-01,17159
2024-06-02,15465
2024-06-03,16343
2024-06-04,17731
2024-06-05,18195
2024-06-06,16854
2024-06-07,16368
2024-06-08,17366
2024-06-09,10161
2024-06-10,15900
2024-06-11,17469
2024-06-12,18031
2024-06-13,18204
2024-06-14,14146
2024-06-15,16419
2024-06-16,14611
2024-06-17,16615
2024-06-18,16380
2024-06-19,13179
2024-06-20,14352
2024-06-21,16684
2024-06-22,11429
2024-06-23,12838
2024-06-24,16122
2024-06-25,17822
2024-06-26,15754
2024-06-27,17540
2024-06-28,17684
2024-06-29,14421
2024-06-30,11391
2024-07-01,15286
2024-07-02,17053
2024-07-03,16153
2024-07-04,14604
2024-07-05,12044
2024-07-06,12180
2024-07-07,12820
2024-07-08,15478
2024-07-09,17507
2024-07-10,17839
2024-07-11,17883
2024-07-12,17280
2024-07-13,14175
2024-07-14,15984
2024-07-15,16602
2024-07-16,18507
2024-07-17,18966
2024-07-18,20060
2024-07-19,20403
2024-07-20,19134
2024-07-21,17296
2024-07-22,17962
2024-07-23,20289
2024-07-24,18856
2024-07-25,20032
2024-07-26,20023
2024-07-27,19562
2024-07-28,17393
2024-07-29,16482
2024-07-30,20007
2024-07-31,17944
2024-08-01,18335
2024-08-02,16210
2024-08-03,16517
2024-08-04,11523
2024-08-05,17603
2024-08-06,13348
2024-08-07,16916
2024-08-08,16656
2024-08-09,14772
2024-08-10,16587
2024-08-11,16063
2024-08-12,17984
2024-08-13,18768
2024-08-14,19095
2024-08-15,15199
2024-08-16,17293
2024-08-17,16816
2024-08-18,13225
2024-08-19,15176
2024-08-20,17513
2024-08-21,18731
2024-08-22,19118
2024-08-23,19257
2024-08-24,18947
2024-08-25,17064
2024-08-26,18193
2024-08-27,19813
2024-08-28,19572
